unit_number,time_in_cycles,RUL,RUL_capped,predicted_RUL,prediction_error,absolute_error,failure_risk,asset_health_score,degradation_index
24,186,20,20,24.264079543749283,4.264079543749283,4.264079543749283,High Risk,25.330220136683145,0.8330150257292904
25,48,145,125,119.89716176067934,-5.102838239320661,5.102838239320661,Low Risk,72.96971115832842,-0.3512406812947423
26,76,119,119,108.8802298579502,-10.119770142049802,10.119770142049802,Low Risk,83.92651675821902,-0.6236125997211538
27,140,66,66,90.97696925574752,24.97696925574752,24.97696925574752,Medium Risk,68.32677799097877,-0.2358234091356682
28,158,97,97,86.57148823792832,-10.428511762071679,10.428511762071679,Low Risk,58.81919005282881,0.0005228455015015714
29,171,90,90,103.17906468444164,13.179064684441641,13.179064684441641,Low Risk,67.54948093324138,-0.21650081653575462
30,143,115,115,74.99234047222356,-40.00765952777644,40.00765952777644,Low Risk,50.9308489147304,0.19661673339591668
31,196,8,8,16.199889272295596,8.199889272295596,8.199889272295596,Critical Risk,4.442390041613164,1.3522592801692839
32,145,48,48,43.07821003356623,-4.921789966433771,4.921789966433771,Medium Risk,59.48780041432678,-0.0160979373699948
33,50,106,106,119.03492977619776,13.034929776197757,13.034929776197757,Low Risk,60.939975394449505,-0.05219711624296974
34,203,7,7,6.347753248610239,-0.652246751389761,0.652246751389761,Critical Risk,0.0,1.5074222703511113
35,198,11,11,8.320326379991343,-2.679673620008657,2.679673620008657,Critical Risk,0.0,1.5084063064135969
36,126,19,19,24.006449598646505,5.006449598646505,5.006449598646505,High Risk,18.2018541164208,1.010216921891789
37,121,21,21,53.92122394811718,32.92122394811718,32.92122394811718,High Risk,39.24913932836366,0.48700882090093506
38,125,50,50,43.95356319916633,-6.046436800833668,6.046436800833668,Medium Risk,39.285327004825255,0.48610924239044867
39,37,142,125,122.129684096762,-2.8703159032379943,2.8703159032379943,Low Risk,87.45105237903702,-0.7112279653359278
40,133,28,28,26.73334212383584,-1.2666578761641603,1.2666578761641603,High Risk,16.811134028840236,1.0447884121674078
41,123,18,18,61.7612079545999,43.7612079545999,43.7612079545999,High Risk,43.79831089052205,0.3739223401434116
42,156,10,10,17.50074415492152,7.50074415492152,7.50074415492152,Critical Risk,12.322999443225235,1.156357593175063
43,172,59,59,59.64672616450493,0.6467261645049334,0.6467261645049334,Medium Risk,40.92758969721921,0.44528473053710976
44,54,109,109,120.45601199891044,11.45601199891044,11.45601199891044,Low Risk,65.79412421593298,-0.1728649345026967
45,152,114,114,58.3032732846244,-55.6967267153756,55.6967267153756,Low Risk,40.869761915534355,0.44672225388205306
46,146,47,47,46.282672166034054,-0.7173278339659461,0.7173278339659461,Medium Risk,38.04068015516462,0.5170495421990756
47,73,135,125,111.9070870134853,-13.092912986514705,13.092912986514705,Low Risk,62.71276838088254,-0.09626644121962809
48,78,92,92,107.8581375509173,15.858137550917306,15.858137550917306,Low Risk,61.95007417132394,-0.07730685640849821
49,303,21,21,17.946568397231786,-3.053431602768214,3.053431602768214,High Risk,6.26949708654948,1.3068397784301375
50,74,79,79,109.30082032409173,30.30082032409173,30.30082032409173,Medium Risk,70.9064942175732,-0.29995179502583
51,144,114,114,89.56680751051415,-24.433192489485847,24.433192489485847,Low Risk,62.69985111533961,-0.09594533482007825
52,189,29,29,27.238704174133055,-1.761295825866945,1.761295825866945,High Risk,27.056298671696588,0.7901069611798058
53,164,26,26,30.458642639479507,4.458642639479507,4.458642639479507,High Risk,28.412441861273063,0.7563950075598981
54,121,97,97,112.82127195967088,15.82127195967088,15.82127195967088,Low Risk,94.9487542183916,-0.8976110689838221
55,113,137,125,99.57601355006823,-25.423986449931775,25.423986449931775,Low Risk,77.2163023019292,-0.4568054068901935
56,136,15,15,15.911469706405024,0.9114697064050237,0.9114697064050237,Critical Risk,14.516116984967308,1.1018395471320754
57,160,103,103,78.16613828055637,-24.833861719443632,24.833861719443632,Low Risk,54.714183022011795,0.10256797443476481
58,176,37,37,43.243436055439275,6.243436055439275,6.243436055439275,High Risk,30.79684542355664,0.6971218401534751
59,94,114,114,113.9259073437062,-0.07409265629380002,0.07409265629380002,Low Risk,92.08685008923636,-0.8264678593225809
60,147,100,100,85.41588524207121,-14.584114757928788,14.584114757928788,Low Risk,60.99272395347741,-0.05350837672721182
61,159,21,21,35.13557336420593,14.135573364205932,14.135573364205932,High Risk,24.344380665497635,0.8575217111477081
62,232,54,54,65.84920906490116,11.84920906490116,11.84920906490116,Medium Risk,50.20011941525673,0.21478171714121588
63,155,72,72,57.96199690532592,-14.038003094674082,14.038003094674082,Medium Risk,42.12963620255413,0.4154034198110068
64,168,28,28,43.572866562904025,15.572866562904025,15.572866562904025,High Risk,30.977672128366628,0.692626723758208
65,71,128,125,121.1871593401606,-3.812840659839395,3.812840659839395,Low Risk,100.0,-1.3424252086941544
66,147,14,14,13.652272365246093,-0.3477276347539071,0.3477276347539071,Critical Risk,5.521721498073884,1.3254285057493091
67,71,77,77,114.33060422459101,37.33060422459101,37.33060422459101,Medium Risk,73.37639582627918,-0.3613503325242447
68,187,8,8,13.598209874872873,5.5982098748728735,5.5982098748728735,Critical Risk,6.057513124445945,1.3121094236663684
69,54,121,121,118.42126932601319,-2.5787306739868114,2.5787306739868114,Low Risk,65.89048759163548,-0.17526040253093259
70,152,94,94,83.7832524810967,-10.216747518903304,10.216747518903304,Low Risk,58.38389755584213,0.011343650105543135
71,68,118,118,113.21052430450258,-4.789475695497416,4.789475695497416,Low Risk,78.51949487695114,-0.4892010771885991
72,131,50,50,74.70124051774069,24.701240517740686,24.701240517740686,Medium Risk,54.82442373930495,0.09982753376671659
73,112,131,125,108.65939905114307,-16.34060094885693,16.34060094885693,Low Risk,86.50447261329639,-0.6876972250678909
74,137,126,125,92.58517748785192,-32.41482251214808,32.41482251214808,Low Risk,56.355275530144326,0.06177255183826172
75,88,113,113,104.30466330700034,-8.69533669299966,8.69533669299966,Low Risk,78.0128298675142,-0.47660604487176617
76,205,10,10,12.108815815903027,2.108815815903027,2.108815815903027,Critical Risk,0.0,1.5165529070413595
77,162,34,34,34.4939993355582,0.4939993355582004,0.4939993355582004,High Risk,27.81861833219531,0.7711566871705376
78,72,107,107,120.36110498711598,13.36110498711598,13.36110498711598,Low Risk,100.0,-1.1473912250765115
79,101,63,63,95.6891348342438,32.6891348342438,32.6891348342438,Medium Risk,60.2006691087158,-0.033818924760590584
80,133,90,90,82.88738831704572,-7.112611682954281,7.112611682954281,Low Risk,53.39097999938289,0.13546107840155044
81,213,8,8,8.918186557129983,0.9181865571299834,0.9181865571299834,Critical Risk,0.0,1.5174186162123322
82,162,9,9,9.444614215309105,0.4446142153091053,0.4446142153091053,Critical Risk,1.7891526437458172,1.4182153066324201
83,73,137,125,112.64339005179264,-12.356609948207364,12.356609948207364,Low Risk,67.25433253982432,-0.2091638118401267
84,172,58,58,46.710495094041185,-11.289504905958815,11.289504905958815,Medium Risk,34.91256235149594,0.5948104771249956
85,34,118,118,122.83287913633298,4.832879136332977,4.832879136332977,Low Risk,68.45623166085906,-0.2390414587844625
86,110,89,89,79.50447063030526,-9.495529369694736,9.495529369694736,Low Risk,58.54303802931702,0.007387625179804378
87,56,116,116,118.03293219484198,2.032932194841976,2.032932194841976,Low Risk,83.29425148393676,-0.6078953083864987
88,68,115,115,111.15192409086134,-3.8480759091386574,3.8480759091386574,Low Risk,64.02115322241846,-0.12879118450180668
89,177,136,125,93.67167737113672,-31.328322628863276,31.328322628863276,Low Risk,56.82893226631502,0.04999806220894005
90,146,28,28,33.60673920678102,5.606739206781022,5.606739206781022,High Risk,28.209116148176662,0.7614494200012429
91,234,38,38,35.24436773820526,-2.7556322617947373,2.7556322617947373,High Risk,22.4479081163934,0.9046655489874251
92,150,20,20,15.204180064274631,-4.795819935725369,4.795819935725369,High Risk,14.180945441312677,1.110171475221414
93,244,85,85,52.77087255980298,-32.22912744019702,32.22912744019702,Low Risk,33.90417489328708,0.6198776761371076
94,133,55,55,52.21970831470727,-2.780291685292731,2.780291685292731,Medium Risk,38.977253749847016,0.493767542312748
95,89,128,125,105.0849126067932,-19.915087393206804,19.915087393206804,Low Risk,76.753500421713,-0.4453007548438801
96,97,137,125,115.25690565725185,-9.743094342748151,9.743094342748151,Low Risk,90.62529489967028,-0.7901355006584675
97,134,82,82,78.3041415366933,-3.695858463306706,3.695858463306706,Low Risk,59.10749178127177,-0.0066439600191187664
98,121,59,59,73.56012044490387,14.560120444903873,14.560120444903873,Medium Risk,51.88048319750269,0.17301006181229744
99,97,117,117,113.73369446324006,-3.266305536759944,3.266305536759944,Low Risk,91.75075218015171,-0.8181129029950353
100,198,20,20,17.876914566046334,-2.1230854339536656,2.1230854339536656,High Risk,10.497504224811172,1.2017370270059091
